"id","t","site_id","vehicle_id","id-2","name","location_id","direction","longitude","latitude","geom","id-3","make","type","subtype","intro_date","euro_status","fuel_type","engine_capacity","co2","gross_vehicle_weight","fc_combined","fc_extra_urban","fc_urban_cold","taxi_type"
1212518,"2017-11-03 20:03:42",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1216169,"2017-11-03 20:22:16",40,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",40,"ANPR 20",20,"W","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1221646,"2017-11-03 20:54:58",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1228517,"2017-11-03 21:45:16",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1238119,"2017-11-03 23:18:10",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1247456,"2017-11-04 05:01:33",28,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",28,"ANPR 14b",14,"E","-2.35524998870269","51.3907969952858","0101000020E6100000340F5B4E8DD702C05410CDA205B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1249237,"2017-11-04 06:13:58",41,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",41,"ANPR 21",21,"N","-2.3755889887201","51.3798039952769","0101000020E61000000853BACC340103C05E4DD56A9DB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1249458,"2017-11-04 06:19:24",43,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",43,"ANPR 22",22,"E","-2.37598398871958","51.3813729952781","0101000020E61000003BF6BAE4030203C004268FD4D0B04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1250485,"2017-11-04 06:41:55",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1257072,"2017-11-04 07:50:23",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1261367,"2017-11-04 08:18:55",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1263324,"2017-11-04 08:30:08",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
